date,series_id,value,realtime_start,realtime_end
2000-01-01,CPIAUCSL,169.3,2026-02-13,2026-02-13
2000-02-01,CPIAUCSL,170,2026-02-13,2026-02-13
2000-03-01,CPIAUCSL,171,2026-02-13,2026-02-13
2000-04-01,CPIAUCSL,170.9,2026-02-13,2026-02-13
2000-05-01,CPIAUCSL,171.2,2026-02-13,2026-02-13
2000-06-01,CPIAUCSL,172.2,2026-02-13,2026-02-13
2000-07-01,CPIAUCSL,172.7,2026-02-13,2026-02-13
2000-08-01,CPIAUCSL,172.7,2026-02-13,2026-02-13
2000-09-01,CPIAUCSL,173.6,2026-02-13,2026-02-13
2000-10-01,CPIAUCSL,173.9,2026-02-13,2026-02-13
2000-11-01,CPIAUCSL,174.2,2026-02-13,2026-02-13
2000-12-01,CPIAUCSL,174.6,2026-02-13,2026-02-13
2001-01-01,CPIAUCSL,175.6,2026-02-13,2026-02-13
2001-02-01,CPIAUCSL,176,2026-02-13,2026-02-13
2001-03-01,CPIAUCSL,176.1,2026-02-13,2026-02-13
2001-04-01,CPIAUCSL,176.4,2026-02-13,2026-02-13
2001-05-01,CPIAUCSL,177.3,2026-02-13,2026-02-13
2001-06-01,CPIAUCSL,177.7,2026-02-13,2026-02-13
2001-07-01,CPIAUCSL,177.4,2026-02-13,2026-02-13
2001-08-01,CPIAUCSL,177.4,2026-02-13,2026-02-13
2001-09-01,CPIAUCSL,178.1,2026-02-13,2026-02-13
2001-10-01,CPIAUCSL,177.6,2026-02-13,2026-02-13
2001-11-01,CPIAUCSL,177.5,2026-02-13,2026-02-13
2001-12-01,CPIAUCSL,177.4,2026-02-13,2026-02-13
2002-01-01,CPIAUCSL,177.7,2026-02-13,2026-02-13
2002-02-01,CPIAUCSL,178,2026-02-13,2026-02-13
2002-03-01,CPIAUCSL,178.5,2026-02-13,2026-02-13
2002-04-01,CPIAUCSL,179.3,2026-02-13,2026-02-13
2002-05-01,CPIAUCSL,179.5,2026-02-13,2026-02-13
2002-06-01,CPIAUCSL,179.6,2026-02-13,2026-02-13
2002-07-01,CPIAUCSL,180,2026-02-13,2026-02-13
2002-08-01,CPIAUCSL,180.5,2026-02-13,2026-02-13
2002-09-01,CPIAUCSL,180.8,2026-02-13,2026-02-13
2002-10-01,CPIAUCSL,181.2,2026-02-13,2026-02-13
2002-11-01,CPIAUCSL,181.5,2026-02-13,2026-02-13
